Open,High,Low,Close,Volume
105.13,110.96,103.65,108.38,299212700
108.52,110.2,106.47,110.15,222614000
107.29,111.98,106.79,110.42,220601200
103.51,105.63,101.6,101.8,338769400
98.91,100.13,92.11,94.31,532273800
87.46,101.75,86.62,97.64,611041300
103.81,105.85,94.46,96.3,476243400
98.89,115.1,97.53,114.33,612918300
109.37,110.86,99.15,107.57,437812400
108.5,111.55,107.48,110.93,313417300
114.11,114.29,109.07,110.71,264705000
110.97,113.62,110.5,112.2,228966900
104.55,106.79,100.45,104.49,397016900
104.45,104.47,100.05,101.49,290833400
98.77,99.44,95.04,96.91,288501100
98.78,99.81,97.28,98.89,241004800
104.52,104.8,102.02,102.71,247526000
103.48,106.54,103.11,106.43,220815000
106.85,111.92,105.73,111.01,251064700
109.69,110.37,106.02,108.73,207708500
107.67,110.2,107.44,109.02,170444300
104.47,108.92,104.08,108.92,235044600
113.08,114.94,111.3,111.61,236121500
114.18,115.4,113.37,114.5,190194800
112.91,114.67,112.66,113.82,133163200
111.48,114.74,110.82,113.54,158525600
113.05,117.68,112.28,117.06,206758800
118.25,118.68,115.85,117.37,198428100
117.35,118.23,115.21,116.65,132972200
121.97,123.0,120.28,123.0,225023300
124.98,131.22,124.47,129.92999,330430100
133.2,135.44,131.67999,135.34,281180800
134.28999,136.3,132.66,134.83,226632600
136.22,136.35001,133.46001,135.39999,226542500
132.39,135.87,132.39,135.57001,193154600
134.28999,134.58,132.62,134.38,161514200
133.06,137.39999,130.59,131.8,270608700
132.23,134.25,131.55,132.83,187344000
130.0,132.67999,129.16,131.28999,198821300
134.14999,135.66,133.31,135.5,192953600
136.03,137.25,134.78999,134.81,304021100
142.25,143.49001,137.91,139.19,369241900
138.72,139.62,132.92,135.13,333170900
135.49001,138.12,135.39999,137.38,197663100
138.78,142.0,137.95,141.22,225578800
142.19,142.39,139.53999,141.92,167120800
142.17,144.0,138.83,139.99001,231397900
142.50999,143.27,141.50999,141.72,153986200
143.19,145.0,141.94,142.63,185114500
142.69,144.28999,141.53,143.96001,155881900
144.61,144.99001,141.87,142.83,167694000
141.97,145.0,141.85001,145.0,162365000
142.48,143.58,140.85001,141.97,180820600
143.35001,146.17999,143.2,144.69,183133700
144.49001,145.22,143.78,144.12,139108000
144.00999,145.64999,143.12,145.48,161494100
145.45,146.2,142.64999,143.85001,242956200
142.5,144.78,142.03,144.17,154308900
145.56,147.96001,145.5,147.89999,187566100
149.27,154.45,149.25999,154.31,269146500
155.98,156.72,154.0,155.02,198145700
156.03999,158.71001,155.25999,157.75,263234500
158.39999,158.66,155.96001,157.99001,194580300
156.28999,157.2,151.49001,153.3,213143600
152.98,157.60001,152.97,157.25,171224100
158.37,160.98,157.77,159.34,143716100
158.2,159.31,157.34,158.24001,140139000
159.33,160.22,158.39,160.0,138133000
161.22,164.42,161.16,162.88,183656400
164.32001,164.5,161.61,164.10001,167704100
163.72,167.89,163.47,164.92,193633300
165.37,165.49001,162.02,164.07001,136975800
171.19,172.39999,169.2,170.7,230627400
171.06,171.75,168.89999,171.37,158831500
172.02,174.16,170.83,173.0,160841100
173.64,174.25,171.25999,172.41,146456400
172.75,173.38,171.0,171.38,123126100
171.34,171.39,164.58,167.03,193114300
169.53,171.25999,167.97,170.78,154082200
172.44,173.83,171.3,173.74001,128984600
173.61,174.72,172.96001,173.5,122316800
174.02,177.0,173.97,176.75,140023500
177.96001,179.38,175.02,175.50999,154077500
176.50999,179.89,176.03999,179.27,174312200
182.89999,183.3,175.92999,177.87,221685400
174.09,176.53999,170.89,173.72,204529000
175.16,180.2,174.52,180.0,148174600
179.62,180.25999,175.89999,178.25999,156407600
176.33,179.89999,176.25,179.42,137192300
181.57001,183.88,178.8,180.77,151878400
181.55,183.3,180.39999,182.7,123396700
182.05,183.84,180.25,182.06,138323200
182.96001,184.48,179.46001,183.16,145485700
182.62,183.97,179.35001,181.59,179871700
179.75,183.02,179.46001,182.02,129554000
181.88,181.89999,178.03999,180.45,156602200
180.60001,182.94,180.59,182.00999,132008000
182.42999,182.5,175.49001,175.64,185229200
175.17,176.0,168.8,175.39999,215142700
174.85001,176.89999,173.81,174.98,140040900
172.61,178.59,171.2,177.99001,172789400
178.35001,181.91,176.57001,179.81,163012800
180.06,182.39,178.81,181.77,168688200
181.98,182.49001,179.10001,181.60001,235518900
180.82001,184.47,176.41,180.17,281787800
178.11,178.14999,173.14999,174.17999,243257900
170.0,172.38,167.22,170.78,231164900
171.06,172.41,168.88,170.62,164424900
170.57001,171.86,169.41,171.66,141670100
168.03,169.03,164.07001,167.02,224441400
167.55,170.96001,167.35001,168.31,163769100
169.09,170.98,166.74001,170.75999,157548400
176.64,179.28999,175.47,177.33,226852000
179.67999,180.28,176.48,177.17,151159300
177.77,178.60001,176.45,177.82001,124911000
175.67,178.85001,174.50999,177.75,147061600
177.0,177.5,174.38,174.88,140737800
172.64,173.2,168.41,170.28999,211843800
173.98,177.10001,172.96001,176.24001,191763300
175.77,178.08,175.17999,176.67,237182100
175.3,184.55,174.71001,183.61,269637000
181.97,182.42,176.21001,178.42999,192559600
179.77,179.78,175.39999,176.97,143564100
174.48,180.25999,173.13,177.69,191586700
178.17,179.77,174.92999,178.19,148573700
180.42999,184.0,180.32001,181.85001,193063500
182.08,187.35001,181.48,186.58,236981000
185.24001,188.14,183.89999,187.24001,173844900
189.60001,191.05,188.06,188.89,136805800
189.19,190.36,185.38,187.62,137596900
185.5,187.23,183.33,185.53999,157678100
186.23,189.06,184.0,185.03999,140088000
186.57001,189.60001,186.53999,189.11,130168900
192.23,195.3,191.06,192.57001,182997200
193.50999,195.62,182.05,183.16,268774400
187.97,190.11,185.96001,188.32001,153482800
184.77,184.8,179.7,180.03,205641400
184.8,184.87,177.28999,179.83,214450500
182.23,183.28,179.77,181.81,179723300
180.17999,184.10001,179.75,183.22,173135200
183.13,185.2,181.73,182.64,128544700
182.78999,182.78999,179.8,181.16,124240200
181.14,183.44,176.75999,180.28,162249600
180.42,183.03,179.78999,182.16,111363700
183.84,187.47,183.5,186.25999,131296700
189.99001,192.0,188.42999,191.49001,153452700
193.05,203.14999,191.91,201.03,297986200
207.98,212.19,204.78,207.03999,308829600
205.14999,206.16,201.41,202.89,178864400
206.45,207.97,202.07001,202.49001,179802200
208.08,211.34,205.56,206.88,180267300
203.0,203.97,197.92999,198.69,188919300
198.77,202.92,194.64999,195.21001,171350300
196.42,197.62,186.38,188.08,223029800
184.89999,188.32001,178.91,188.14999,264942300
195.11,199.94,193.78999,199.05,198897100
195.16,195.42,191.3,193.16,176483300
195.72,195.89,191.13,193.8,154935300
191.05,191.44,183.85001,186.86,207423100
182.86,191.00999,180.58,190.17,186591900
185.97,189.0,184.32001,186.60001,173628900
183.38,184.8,179.64999,181.36,213598900
184.78999,187.86,182.83,186.52,247246400
195.95,196.0,179.85001,180.64,343504800
181.24001,184.56,172.92999,178.88,346926200
179.49001,183.5,176.48,182.55,256618300
174.91,178.16,169.55,177.82001,320600300
181.63,182.91,178.24001,180.25999,183852000
179.00999,179.28999,176.5,177.0,121332800
174.75999,180.3,173.67999,179.92,188131000
181.75999,185.66,180.0,181.46001,182632200
181.08,182.45,179.11,179.59,165138000
181.62,184.52,179.96001,183.38,167364900
183.89,184.66,180.91,182.41,143971100
182.64,188.0,182.39999,185.55,204378100
185.56,185.72,183.32001,184.97,144719700
184.97,185.48,182.03999,183.78,162785400
180.28,181.32001,176.62,180.92999,182136600
181.11,182.82001,174.62,175.02,204274900
177.94,178.42,175.03,176.28999,164775600
176.25999,178.49001,174.89999,177.72,148588100
176.10001,176.13,170.31,170.94,222775500
174.53,176.14999,171.82001,174.14,176096000
176.67,181.45,176.34,180.99001,324925900
183.92,184.16,182.35001,183.69,129064400
182.97,189.33,182.89999,189.21001,174873600
187.94,188.91,186.59,188.61,65528500
189.92,192.69,188.0,190.53,139740300
187.71001,188.75999,185.91,188.22,120006100
188.24001,188.99001,186.92999,187.53999,97687300
189.57001,190.56,186.49001,186.5,120100500
189.84,192.92999,188.25999,188.85001,148240500
191.75999,193.63,186.14999,188.12,183529700
190.52,192.17,186.82001,187.24001,176862600
188.57001,191.37,186.56,189.11,153543200
189.11,189.55,183.71001,185.03999,172457000
185.08,186.34,183.67,184.86,131327500
183.22,187.12,183.02,184.94,137968500
185.0,188.11,183.39999,185.81,160128900
184.32001,184.46001,180.8,183.14,159586100
186.5,189.7,186.33,187.05,206188600
189.08,190.44,186.08,186.23,187967200
181.89999,182.38,177.61,178.07001,223345300
179.05,185.38,178.39999,183.32001,200381000
184.75,186.17,183.92999,184.84,139636600
187.5,189.60001,186.82001,187.67,142748100
187.16,189.12,185.99001,186.47,124799600
187.24001,190.0,185.7,188.52,143711600
191.27,192.35001,189.84,191.52,148552700
191.34,193.48,186.06,192.50999,171764400
191.21001,194.49001,189.47,191.13,179489500
187.2,190.3,184.88,185.61,165794100
186.24001,186.27,176.23,180.34,204019600
179.46001,179.58,171.91,174.19,207014100
174.92999,176.82001,171.03,171.88,206312900
176.69,187.0,174.60001,185.41,231346200
184.25999,193.66,183.95,190.03999,196387400
191.38,192.48,188.12,188.53999,136764800
192.45,193.25999,188.77,190.05,144192700
193.03,193.61,186.50999,186.94,189932500
187.48,187.5,181.59,182.81,161888000
181.75,187.14999,179.17999,184.97,162276900
188.75,190.37,186.75999,187.98,164749100
187.06,188.42999,185.66,187.89999,126554500
186.57001,190.33,185.94,189.82001,178422300
191.39999,193.95,189.58,191.55,171584800
191.49001,193.77,187.39999,192.85001,175123600
194.45,197.63,193.78999,195.56,250637100
194.27,194.28999,184.32001,184.89,360807900
181.25,182.59,176.38,177.19,311636500
175.00999,183.46001,174.64,182.48,209095300
178.49001,180.89999,176.92,180.05,178099400
180.44,184.7,180.06,183.03999,177731200
181.17,184.06,177.88,183.34,198779700
179.84,182.75999,176.82001,177.82001,189021900
176.83,182.91,175.56,182.64999,177213600
182.39999,186.44,182.00999,184.77,179118500
185.91,187.62,184.45,186.03,145280400
184.05,184.94,181.75,183.14,155762700
184.92,186.09,179.94,180.25,160988400
